"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","Germany (DE)","44316.06","40794.69"
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","Germany (DE)","43700.52","39951.18"
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","Germany (DE)","43775.22","39286.72"
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","Germany (DE)","43165.17","38599.95"
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","Germany (DE)","42776.00","38094.33"
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","Germany (DE)","42223.89","37578.68"
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","Germany (DE)","41830.57","37287.31"
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","Germany (DE)","41653.71","37005.12"
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","Germany (DE)","41300.77","36956.19"
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","Germany (DE)","41120.04","37063.70"
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","Germany (DE)","40858.58","37432.85"
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","Germany (DE)","40563.15","36996.43"
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","Germany (DE)","40500.64","36938.76"
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","Germany (DE)","40652.54","36799.43"
"02/01/2024 03:00:00 - 02/01/2024 03:15:00","Germany (DE)","40795.52","36951.09"
"02/01/2024 03:15:00 - 02/01/2024 03:30:00","Germany (DE)","40897.78","37015.29"
"02/01/2024 03:30:00 - 02/01/2024 03:45:00","Germany (DE)","40971.01","37421.21"
"02/01/2024 03:45:00 - 02/01/2024 04:00:00","Germany (DE)","41243.51","38046.32"
"02/01/2024 04:00:00 - 02/01/2024 04:15:00","Germany (DE)","41938.34","38821.79"
"02/01/2024 04:15:00 - 02/01/2024 04:30:00","Germany (DE)","42314.86","39108.63"
"02/01/2024 04:30:00 - 02/01/2024 04:45:00","Germany (DE)","42923.90","39632.57"
"02/01/2024 04:45:00 - 02/01/2024 05:00:00","Germany (DE)","43545.03","40084.67"
"02/01/2024 05:00:00 - 02/01/2024 05:15:00","Germany (DE)","44590.29","41162.66"
"02/01/2024 05:15:00 - 02/01/2024 05:30:00","Germany (DE)","45421.76","41606.55"
"02/01/2024 05:30:00 - 02/01/2024 05:45:00","Germany (DE)","46552.51","42870.66"
"02/01/2024 05:45:00 - 02/01/2024 06:00:00","Germany (DE)","47980.89","44174.79"
"02/01/2024 06:00:00 - 02/01/2024 06:15:00","Germany (DE)","50419.75","46016.59"
"02/01/2024 06:15:00 - 02/01/2024 06:30:00","Germany (DE)","52206.72","47111.65"
"02/01/2024 06:30:00 - 02/01/2024 06:45:00","Germany (DE)","53283.16","48098.07"
"02/01/2024 06:45:00 - 02/01/2024 07:00:00","Germany (DE)","54468.32","49677.29"
"02/01/2024 07:00:00 - 02/01/2024 07:15:00","Germany (DE)","55939.19","50986.59"
"02/01/2024 07:15:00 - 02/01/2024 07:30:00","Germany (DE)","56893.19","52036.79"
"02/01/2024 07:30:00 - 02/01/2024 07:45:00","Germany (DE)","58068.46","52993.20"
"02/01/2024 07:45:00 - 02/01/2024 08:00:00","Germany (DE)","58610.61","54242.48"
"02/01/2024 08:00:00 - 02/01/2024 08:15:00","Germany (DE)","59195.45","55091.91"
"02/01/2024 08:15:00 - 02/01/2024 08:30:00","Germany (DE)","59644.29","55931.09"
"02/01/2024 08:30:00 - 02/01/2024 08:45:00","Germany (DE)","60292.69","56292.51"
"02/01/2024 08:45:00 - 02/01/2024 09:00:00","Germany (DE)","60411.16","56874.37"
"02/01/2024 09:00:00 - 02/01/2024 09:15:00","Germany (DE)","60590.94","57140.49"
"02/01/2024 09:15:00 - 02/01/2024 09:30:00","Germany (DE)","61072.22","57770.63"
"02/01/2024 09:30:00 - 02/01/2024 09:45:00","Germany (DE)","61596.85","58188.63"
"02/01/2024 09:45:00 - 02/01/2024 10:00:00","Germany (DE)","61748.50","58625.74"
"02/01/2024 10:00:00 - 02/01/2024 10:15:00","Germany (DE)","61825.52","58928.76"
"02/01/2024 10:15:00 - 02/01/2024 10:30:00","Germany (DE)","61819.38","59344.32"
"02/01/2024 10:30:00 - 02/01/2024 10:45:00","Germany (DE)","61813.68","59659.28"
"02/01/2024 10:45:00 - 02/01/2024 11:00:00","Germany (DE)","61940.69","60105.81"
"02/01/2024 11:00:00 - 02/01/2024 11:15:00","Germany (DE)","62240.00","60501.47"
"02/01/2024 11:15:00 - 02/01/2024 11:30:00","Germany (DE)","62473.67","60785.95"
"02/01/2024 11:30:00 - 02/01/2024 11:45:00","Germany (DE)","62462.61","61232.92"
"02/01/2024 11:45:00 - 02/01/2024 12:00:00","Germany (DE)","62400.21","61197.54"
"02/01/2024 12:00:00 - 02/01/2024 12:15:00","Germany (DE)","62268.91","61305.75"
"02/01/2024 12:15:00 - 02/01/2024 12:30:00","Germany (DE)","62070.28","61256.27"
"02/01/2024 12:30:00 - 02/01/2024 12:45:00","Germany (DE)","62077.48","61308.16"
"02/01/2024 12:45:00 - 02/01/2024 13:00:00","Germany (DE)","61997.71","61208.52"
"02/01/2024 13:00:00 - 02/01/2024 13:15:00","Germany (DE)","61848.31","61215.46"
"02/01/2024 13:15:00 - 02/01/2024 13:30:00","Germany (DE)","61753.20","60775.94"
"02/01/2024 13:30:00 - 02/01/2024 13:45:00","Germany (DE)","61228.57","60477.13"
"02/01/2024 13:45:00 - 02/01/2024 14:00:00","Germany (DE)","60817.18","59959.50"
